# https://www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt
# https://translated.turbopages.org/proxy_u/en-ru.ru.99294af1-6746a008-8ed92243-74722d776562/https/www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt

# emoji-data.txt
# Дата: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode и логотип Unicode являются зарегистрированными товарными знаками Unicode, Inc. в США и других странах.
# Условия использования и лицензии см. в разделе https://www.unicode.org/terms_of_use.html
#
# Данные эмодзи для UTS #51
# Используется с Emoji версии 16.0 и последующими незначительными изменениями (если таковые имеются)
#
# Документацию и способы использования см. в разделе https://www.unicode.org/reports/tr51
#
# Формат: 
# <кодовые точки> ; <свойство> # <комментарии> 
# Примечание: нет гарантии относительно структуры пробелов или комментариев
#
# Символы и последовательности перечислены в порядке кодовых обозначений. Пользователям следует показывать более естественный порядок.
# Смотрите порядок сортировки смайликов в CLDR.


# ================================================

# Все пропущенные кодовые точки имеют эмодзи = Нет

# 0023; Эмодзи # E0.0 [1] (#️) хэш-знак
# 002A ; Эмодзи # E0.0 [1] (*️) звездочка
# 0030..0039 ; Эмодзи # E0.0 [10] (0️..9️) цифра ноль .. цифра девять
1F6CC ; Emoji_Presentation # E1.0 [1] (🛌) человек в постели
1F6D0 ; Emoji_Presentation # E1.0 [1] (🛐) место поклонения
1F6D1..1F6D2 ; Emoji_Presentation # E3.0 [2] (🛑..🛒) знак остановки .. корзина
1F6D5 ; Emoji_Presentation # E12.0 [1] (🛕) Индуистский храм
1F6D6..1F6D7 ; Emoji_Presentation # E13.0 [2] (🛖..🛗) хижина .. лифт
1F6DC ; Emoji_Presentation # E15.0 [1] (🛜) беспроводная связь
1F6DD..1F6DF ; Emoji_Presentation # E14.0 [3] (🛝..🛟) горка для детской площадки .. кольцевой буй
1F6EB..1F6EC ; Emoji_Presentation # E1.0 [2] (🛫..🛬) вылет самолета ..прибытие самолета
1F6F4..1F6F6 ; Emoji_Presentation # E3.0 [3] (🛴..🛶) самокат .. каноэ
1F6F7..1F6F8 ; Emoji_Presentation # E5.0 [2] (🛷..🛸) сани..летающая тарелка
1F6F9 ; Emoji_Presentation # E11.0 [1] (🛹) скейтборд
1F6FA ; Emoji_Presentation # E12.0 [1] (🛺) авторикша
1F6FB..1F6FC ; Emoji_Presentation # E13.0 [2] (🛻..🛼) пикап..роликовые коньки
1F7E0..1F7EB ; Emoji_Presentation # E12.0 [12] (🟠..🟫) оранжевый круг .. коричневый квадрат
1F7F0 ; Emoji_Presentation # E14.0 [1] (🟰) тяжелый знак равенства
1F90C ; Emoji_Presentation # E13.0 [1] (🤌) сжатые пальцы
1F90D..1F90F ; Emoji_Presentation # E12.0 [3] (🤍..🤏) белое сердце .. сжимающая рука 
1F910..1F918 ; Emoji_Presentation # E1.0 [9] (🤐..🤘) морда с молнией-ртом..знак рогов
1F919..1F91E ; Emoji_Presentation # E3.0 [6] (🤙..🤞) зови меня рука..скрещенные пальцы
1F91F ; Emoji_Presentation # E5.0 [1] (🤟) жест любви к тебе
1F920..1F927 ; Emoji_Presentation # E3.0 [8] (🤠..🤧) лицо в ковбойской шляпе .. чихающее лицо 
1F928..1F92F ; Emoji_Presentation # E5.0 [8] (🤨..🤯) лицо с приподнятой бровью .. взрывающаяся голова
1F930 ; Emoji_Presentation # E3.0 [1] (🤰) беременная женщина
1F931..1F932 ; Emoji_Presentation # E5.0 [2] (🤱..🤲) кормление грудью .. ладони вместе
1F933..1F93A ; Emoji_Presentation # E3.0 [8] (🤳..🤺) селфи ..фехтование человека
1F93C..1F93E ; Emoji_Presentation # E3.0 [3] (🤼..🤾) люди борются .. человек играет в гандбол
1F93F ; Emoji_Presentation # E12.0 [1] (🤿) маска для дайвинга
1F940..1F945 ; Emoji_Presentation # E3.0 [6] (🥀..🥅) увядший цветок .. голевая сетка 
1F947..1F94B ; Emoji_Presentation # E3.0 [5] (🥇..🥋) медаль за 1-е место .. униформа для боевых искусств
1F94C ; Emoji_Presentation # E5.0 [1] (🥌) камень для завивки
1F94D..1F94F ; Emoji_Presentation # E11.0 [3] (🥍..🥏) лакросс..летающий диск
1F950..1F95E ; Emoji_Presentation # E3.0 [15] (🥐..🥞) круассан..блинчики
1F95F..1F96B ; Emoji_Presentation # E5.0 [13] (🥟..🥫) клецки .. консервы
1F96C ..1F970 ; Emoji_Presentation # E11.0 [5] (🥬..🥰) зеленая листва .. улыбающееся лицо с сердечками
1F971 ; Emoji_Presentation # E12.0 [1] (🥱) зевающее лицо 
1F972 ; Emoji_Presentation # E13.0 [1] (🥲) улыбающееся лицо со слезами
1F973..1F976 ; Emoji_Presentation # E11.0 [4] (🥳..🥶) веселящееся лицо .. холодное лицо 
1F977..1F978 ; Emoji_Presentation # E13.0 [2] (🥷..🥸) ниндзя .. замаскированное лицо 
1F979 ; Emoji_Presentation # E14.0 [1] (🥹) лицо, сдерживающее слезы
1F97A ; Emoji_Presentation # E11.0 [1] (🥺) умоляющее лицо 
1F97B ; Emoji_Presentation # E12.0 [1] (🥻) сари
1F97C..1F97F ; Emoji_Presentation # E11.0 [4] (🥼..🥿) лабораторный халат .. обувь на плоской подошве 
1F980..1F984 ; Emoji_Presentation # E1.0 [5] (🦀..🦄) краб..единорог
1F985..1F991 ; Emoji_Presentation # E3.0 [13] (🦅..🦑) орел..кальмар
1F992..1F997 ; Emoji_Presentation # E5.0 [6] (🦒..🦗) жираф..крикет
1F998..1F9A2 ; Emoji_Presentation # E11.0 [11] (🦘..🦢) кенгуру..лебедь
1F9A3..1F9A4 ; Emoji_Presentation # E13.0 [2] (🦣..🦤) мамонт..дронт
1F9A5..1F9AA ; Emoji_Presentation # E12.0 [6] (🦥..🦪) ленивец..устрица
1F9AB..1F9AD ; Emoji_Presentation # E13.0 [3] (🦫..🦭) бобр..тюлень
1F9AE..1F9AF ; Emoji_Presentation # E12.0 [2] (🦮..🦯) собака-поводырь .. белая трость
1F9B0..1F9B9 ; Emoji_Presentation # E11.0 [10] (🦰..🦹) рыжие волосы ..суперзлодей
1F9BA..1F9BF ; Emoji_Presentation # E12.0 [6] (🦺..🦿) защитный жилет .. механическая нога
1F9C0 ; Emoji_Presentation # E1.0 [1] (🧀) долька сыра
1F9C1..1F9C2 ; Emoji_Presentation # E11.0 [2] (🧁..🧂) кекс ..соль
1F9C3..1F9CA ; Emoji_Presentation # E12.0 [8] (🧃..🧊) коробка для напитков ..лед
1F9CB ; Emoji_Presentation # E13.0 [1] (🧋) чай с пузырьками
1F9CC ; Emoji_Presentation # E14.0 [1] (🧌) тролль
1F9CD..1F9CF ; Emoji_Presentation # E12.0 [3] (🧍..🧏) человек стоит ..глухой
1F9D0..1F9E6 ; Emoji_Presentation # E5.0 [23] (🧐..🧦) лицо с моноклем .. носки
1F9E7..1F9FF ; Emoji_Presentation # E11.0 [25] (🧧..🧿) красный конверт ..амулет Назара
1FA70..1FA73 ; Emoji_Presentation # E12.0 [4] (🩰..🩳) балетки.. шорты
1FA74 ; Emoji_Presentation # E13.0 [1] (🩴) сандалии-стринги
1FA75..1FA77 ; Emoji_Presentation # E15.0 [3] (🩵..🩷) светло-голубое сердечко ..розовое сердечко
1FA78..1FA7A ; Emoji_Presentation # E12.0 [3] (🩸..🩺) капля крови ..стетоскоп
1FA7B..1FA7C ; Emoji_Presentation # E14.0 [2] (🩻..🩼) рентген..костыль
1FA80..1FA82 ; Emoji_Presentation # E12.0 [3] (🪀..🪂) йо-йо..парашют
1FA83..1FA86 ; Emoji_Presentation # E13.0 [4] (🪃..🪆) бумеранг..матрешки
1FA87..1FA88 ; Emoji_Presentation # E15.0 [2] (🪇..🪈) маракасы..флейта
1FA89 ; Emoji_Presentation # E16.0 [1] (🪉) арфа
1FA8F ; Emoji_Presentation # E16.0 [1] (🪏) лопата
1FA90..1FA95 ; Emoji_Presentation # E12.0 [6] (🪐..🪕) планета в кольцах..банджо
1FA96..1FAA8 ; Emoji_Presentation # E13.0 [19] (🪖..🪨) военный шлем .. рок
1FAA9..1FAAC ; Emoji_Presentation # E14.0 [4] (🪩..🪬) зеркальный шар ..хамса
1FAAD..1FAAF ; Emoji_Presentation # E15.0 [3] (🪭..🪯) складной веер для рук ..khanda
1FAB0..1FAB6 ; Emoji_Presentation # E13.0 [7] (🪰..🪶) летать..перо
1FAB7..1FABA ; Emoji_Presentation # E14.0 [4] (🪷..🪺) лотос .. гнездо с яйцами
1FABB..1FABD ; Emoji_Presentation # E15.0 [3] (🪻..🪽) гиацинт..крыло
1FABF ; Emoji_Presentation # E16.0 [1] (🪾) дерево без листьев
1FABF ; Emoji_Presentation # E15.0 [1] (🪿) гусь
1FAC0..1FAC2 ; Emoji_Presentation # E13.0 [3] (🫀..🫂) анатомическое сердце .. люди обнимаются
1FAC3..1FAC5 ; Emoji_Presentation # E14.0 [3] (🫃..🫅) беременный мужчина .. человек с короной
1FAC6 ; Emoji_Presentation # E16.0 [1] (🫆) отпечаток пальца
1FACE..1FACF ; Emoji_Presentation # E15.0 [2] (🫎..🫏) лось .. осел
1FAD0..1FAD6 ; Emoji_Presentation # E13.0 [7] (🫐..🫖) черника.. чайник
1FAD7..1FAD9 ; Emoji_Presentation # E14.0 [3] (🫗..🫙) заливка liquid..jar
1FADA..1FADB ; Emoji_Presentation # E15.0 [2] (🫚..🫛) корень имбиря.. стручок гороха
1FADC ; Emoji_Presentation # E16.0 [1] (🫜) корнеплод
1FADF ; Emoji_Presentation # E16.0 [1] (🫟) брызги
1FAE0..1FAE7 ; Emoji_Presentation # E14.0 [8] (🫠..🫧) тающее лицо ..пузыри
1FAE8 ; Emoji_Presentation # E15.0 [1] (🫨) дрожащее лицо
1FAE9 ; Emoji_Presentation # E16.0 [1] (🫩) лицо с мешками под глазами
1FAF0..1FAF6 ; Emoji_Presentation # E14.0 [7] (🫰..🫶) рука со скрещенными указательным и большим пальцами .. руки в виде сердца
1FAF7..1FAF8 ; Emoji_Presentation # E15.0 [2] (🫷..🫸) рука, толкающая влево .. рука, толкающая вправо

# Всего элементов: 1212

# ================================================

# Все пропущенные кодовые точки имеют Emoji_Modifier=No

1F3FB..1F3FF ; Emoji_Modifier # E1.0 [5] (🏻..🏿) светлый тон кожи .. темный тон кожи

# Всего элементов: 5

# ================================================

# Все пропущенные кодовые точки имеют Emoji_Modifier_Base= No

261D ; Emoji_Modifier_Base # E0.6 [1] (☝️) индекс направлен вверх
26F9 ; Emoji_Modifier_Base # E0.7 [1] (⛹️) человек, отбивающий мяч
270A..270C ; Emoji_Modifier_Base # E0.6 [3] (✊..✌️) поднятый кулак .. рука победы
270D ; Emoji_Modifier_Base # E0.7 [1] (✍️) пишущая рука
1F385 ; Emoji_Modifier_Base # E0.6 [1] (🎅) Санта-Клаус
1F3C2..1F3C4 ; Emoji_Modifier_Base # E0.6 [3] (🏂..🏄) сноубордист .. человек, занимающийся серфингом
1F3C7 ; Emoji_Modifier_Base # E1.0 [1] (🏇) скачки
1F3CA ; Emoji_Modifier_Base # E0.6 [1] (🏊) человек, плавающий
1F3CB ..1F3CC ; Emoji_Modifier_Base # E0.7 [2] (🏋️..🏌️) человек, поднимающий тяжести .. человек, играющий в гольф
1F442..1F443 ; Emoji_Modifier_Base # E0.6 [2] (👂..👃) ухо .. нос
1F446..1F450 ; Emoji_Modifier_Base # E0.6 [11] (👆..👐) указательный палец слева направлен вверх .. открытые ладони
1F466..1F46B ; Emoji_Modifier_Base # E0.6 [6] (👦..👫) мальчик .. женщина и мужчина, держащиеся за руки
1F46C..1F46D ; Emoji_Modifier_Base # E1.0 [2] (👬..👭) мужчины держатся за руки .. женщины держатся за руки
1F46E..1F478 ; Emoji_Modifier_Base # E0.6 [11] (👮..👸) офицер полиции .. принцесса
1F47C ; Emoji_Modifier_Base # E0.6 [1] (👼) ангелочек
1F481..1F483 ; Emoji_Modifier_Base # E0.6 [3] (💁..💃) человек поднимает руку .. женщина танцует
1F485..1F487 ; Emoji_Modifier_Base # E0.6 [3] (💅..💇) лак для ногтей .. человек, делающий стрижку
1F48F ; Emoji_Modifier_Base # E0.6 [1] (💏) поцелуй
1F491 ; Emoji_Modifier_Base # E0.6 [1] (💑) пара с сердцем
1F4AA ; Emoji_Modifier_Base # E0.6 [1] (💪) согнутые бицепсы
1F574..1F575 ; Emoji_Modifier_Base # E0.7 [2] (🕴️..🕵️) левитирующий человек в костюме ..детектив
1F57A ; Emoji_Modifier_Base # E3.0 [1] (🕺) танцующий мужчина
1F590 ; Emoji_Modifier_Base # E0.7 [1] (🖐️) рука с растопыренными пальцами
1F595..1F596 ; Emoji_Modifier_Base # E1.0 [2] (🖕..🖖) средний палец .. вулканское приветствие
1F645..1F647 ; Emoji_Modifier_Base # E0.6 [3] (🙅..🙇) человек жестикулирует, НЕТ .. человек кланяется
1F64B..1F64F ; Emoji_Modifier_Base # E0.6 [5] (🙋..🙏) человек поднимает руку .. сложенные руки
1F6A3 ; Emoji_Modifier_Base # E1.0 [1] (🚣) гребная лодка для человека
1F6B4..1F6B5 ; Emoji_Modifier_Base # E1.0 [2] (🚴..🚵) человек на велосипеде .. человек на горном велосипеде
1F6B6 ; Emoji_Modifier_Base # E0.6 [1] (🚶) идущий человек
1F6C0 ; Emoji_Modifier_Base # E0.6 [1] (🛀) человек, принимающий ванну
1F6CC ; Emoji_Modifier_Base # E1.0 [1] (🛌) человек в постели
1F90C ; Emoji_Modifier_Base # E13.0 [1] (🤌) зажатые пальцы
1F90F ; Emoji_Modifier_Base # E12.0 [1] (🤏) сжимающая рука 
1F918 ; Emoji_Modifier_Base # E1.0 [1] (🤘) знак рогов
1F919..1F91E ; Emoji_Modifier_Base # E3.0 [6] (🤙..🤞) зови меня рука..скрещенные пальцы
1F91F ; Emoji_Modifier_Base # E5.0 [1] (🤟) жест любви к тебе
1F926 ; Emoji_Modifier_Base # E3.0 [1] (🤦) мазок для лица человека
1F930 ; Emoji_Modifier_Base # E3.0 [1] (🤰) беременная женщина
1F931..1F932 ; Emoji_Modifier_Base # E5.0 [2] (🤱..🤲) кормление грудью .. ладони вместе
1F933..1F939 ; Emoji_Modifier_Base # E3.0 [7] (🤳..🤹) селфи .. жонглирование людьми
1F93C ..1F93E ; Emoji_Modifier_Base # E3.0 [3] (🤼..🤾) люди борются .. человек играет в гандбол
1F977 ; Emoji_Modifier_Base # E13.0 [1] (🥷) ниндзя
1F9B5..1F9B6 ; Emoji_Modifier_Base # E11.0 [2] (🦵..🦶) нога..фут
1F9B8..1F9B9 ; Emoji_Modifier_Base # E11.0 [2] (🦸..🦹) супергерой ..суперзлодей
1F9BB ; Emoji_Modifier_Base # E12.0 [1] (🦻) ухо со слуховым аппаратом
1F9CD..1F9CF ; Emoji_Modifier_Base # E12.0 [3] (🧍..🧏) человек стоит ..глухой
1F9D1..1F9DD ; Emoji_Modifier_Base # E5.0 [13] (🧑..🧝) человек ..эльф
1FAC3 ..1FAC5 ; Emoji_Modifier_Base # E14.0 [3] (🫃..🫅) беременный мужчина .. человек с короной
1FAF0..1FAF6 ; Emoji_Modifier_Base # E14.0 [7] (🫰..🫶) рука со скрещенными указательным и большим пальцами .. руки в виде сердца
1FAF7..1FAF8 ; Emoji_Modifier_Base # E15.0 [2] (🫷..🫸) рука, толкающая влево .. рука, толкающая вправо

# Всего элементов: 134

# ================================================

# Все пропущенные кодовые точки имеют хэш-знак Emoji_Component=No

# 0023 ; Emoji_Component # E0.0 [1] (#️)
# 002A ; Emoji_Component # E0.0 [1] (*️) звездочка
# 0030..0039 ; Emoji_Component # E0.0 [10] (0️..9️) цифра ноль ..цифра девять
200D ; Emoji_Component # E0.0 [1] () столяр нулевой ширины
20E3 ; Emoji_Component # E0.0 [1] (⃣) объединение закрывающей клавиши
FE0F ; Emoji_Component # E0.0 [1] () СЕЛЕКТОР ВАРИАНТОВ-16
1F1E6..1F1FF ; Emoji_Component # E0.0 [26] (🇦..🇿) буква символа регионального индикатора a ..буква символа регионального индикатора z
1F3FB..1F3FF ; Emoji_Component # E1.0 [5] (🏻..🏿) светлый тон кожи .. темный тон кожи
1F9B0..1F9B3 ; Emoji_Component # E11.0 [4] (🦰..🦳) рыжие волосы ..белые волосы
E0020..E007F ; Emoji_Component # E0.0 [96] (󠀠..󠁿) пробел в теге ..отменить тег

# Всего элементов: 146

# ================================================

# Все пропущенные кодовые точки имеют Extended_Pictographic=No

00A9 ; Extended_Pictographic# E0.6 [1] (©️) авторские права
00AE ; зарегистрирован расширенный графический номер E0.6 [1] (®️)
203C ; Расширенный графический # E0.6 [1] (‼️) двойной восклицательный знак
2049 ; Расширенный графический номер E0.6 [1] (⁉️) восклицательный вопросительный знак 
2122 ; Расширенный графический# E0.6 [1] (™️) товарный знак
2139 ; расширенная_пиктографическая информация# E0.6 [1] (ℹ️)
2194..2199 ; Расширенный графический # E0.6 [6] (↔️..↙️) стрелка влево-вправо .. стрелка вниз-влево
21A9..21AA ; Extended_Pictographic # E0.6 [2] (↩️..↪️) стрелка вправо, изгибающаяся влево .. стрелка влево, изгибающаяся вправо
231A ..231B ; Расширенный фотограф # E0.6 [2] (⌚..⌛) часы .. песочные часы сделаны
2328 ; Расширенная цифровая клавиатура # E1.0 [1] (⌨️)
2388 ; Расширенная цифровая клавиатура # E0.0 [1] (⎈) СИМВОЛ РУЛЯ
23CF ; Extended_Pictographic# E1.0 [1] (⏏️) кнопка извлечения
23E9..23EC ; Extended_Pictographic# E0.6 [4] (⏩..⏬) кнопка быстрой перемотки вперед .. кнопка быстрого спуска 
23ED..23EE ; ExteНайденный графический # E0.7 [2] (⏭️..⏮️) кнопка "Следующий трек"..кнопка "Последний трек"
23EF ; Extended_Pictographic# E1.0 [1] (⏯️) кнопка воспроизведения или паузы
23F0 ; Расширенный графический# E0.6 [1] (⏰) будильник
23F1..23F2 ; Extended_Pictographic# E1.0 [2] (⏱️..⏲️) секундомер..таймер
23F3 ; Extended_Pictographic# E0.6 [1] (⏳) песочные часы не готовы
23F8..23FA ; Extended_Pictographic# E0.7 [3] (⏸️..⏺️) кнопка паузы..кнопка записи
24C2 ; Расширенный графический номер E0.6 [1] (Ⓜ️), обведенный кружком M
25AA ..25AB ; Extended_Pictographic # E0.6 [2] (▪️..▫️) черный маленький квадрат .. белый маленький квадрат
25B6 ; Extended_Pictographic# E0.6 [1] (▶️) кнопка воспроизведения
25C0 ; расширенный_пиктографический# E0.6 [1] (◀️) кнопка обратного хода 
25FB..25FE ; расширенный_пиктографический# E0.6 [4] (◻️..◾) белый средний квадрат .. черный средний-маленький квадрат
2600 ..2601 ; Расширенный фотограф # E0.6 [2] (☀️..☁️) солнце .. облако
2602..2603 ; Расширенный графический # E0.7 [2] (☂️..☃️) зонтик ..снеговик
2604 ; Расширенный фотограф# E1.0 [1] (☄️) комета
2605 ; Расширенный фотограф # E0.0 [1] (★) ЧЕРНАЯ ЗВЕЗДА
2607..260D ; Расширенный фотограф # E0.0 [7] (☇..☍) МОЛНИЯ..ПРОТИВОДЕЙСТВИЕ
260E ; Расширенный графический номер E0.6 [1] (☎️) телефон
260F ..2610 ; Расширенный фотограф # E0.0 [2] (☏..☐) БЕЛЫЙ ТЕЛЕФОН ..УРНА ДЛЯ ГОЛОСОВАНИЯ 
2611 ; Extended_Pictographic# E0.6 [1] (☑️) флажок с флажком
2612 ; Расширенный графический номер E0.0 [1] (☒) УРНА ДЛЯ ГОЛОСОВАНИЯ С КРЕСТИКОМ 
2614..2615 ; Расширенный графический номер E0.6 [2] (☔..☕) зонтик с каплями дождя..горячий напиток
2616 ..2617 ; Расширенный графический # E0.0 [2] (☖..☗) БЕЛАЯ ЧАСТЬ СЕГИ .. ЧЕРНАЯ ЧАСТЬ СЕГИ
2618 ; Расширенный фотограф# E1.0 [1] (☘️) трилистник
2619..261C ; Extended_Pictographic# E0.0 [4] (☙..☜) ПЕРЕВЕРНУТАЯ МАРКИРОВКА В ВИДЕ ЦВЕТОЧНОГО СЕРДЕЧКА .. БЕЛЫЙ УКАЗАТЕЛЬ, УКАЗЫВАЮЩИЙ ВЛЕВО
261D ; Расширенный графический # E0.6 [1] (☝️) указатель, указывающий вверх
261E..261F ; Extended_Pictographic# E0.0 [2] (☞..☟) БЕЛЫЙ УКАЗАТЕЛЬ НАПРАВЛЕНИЯ ВПРАВО .. БЕЛЫЙ УКАЗАТЕЛЬ НАПРАВЛЕНИЯ ВНИЗ
2620 ; Расширенный фотограф# E1.0 [1] (☠️) череп и скрещенные кости
2621 ; Расширенный графический# E0.0 [1] (☡) ПРЕДУПРЕЖДАЮЩИЙ ЗНАК
2622..2623 ; Расширенный фотограф # E1.0 [2] (☢️..☣️) радиоактивный..биологическая опасность
2624..2625 ; Расширенный фотограф# E0.0 [2] (☤..☥) КАДУЦЕЙ..АНКХ
2626 ; Расширенный фотограф# E1.0 [1] (☦️) православный крест
2627..2629 ; Расширенный фотограф# E0.0 [3] (☧..☩) ХИ РО..ИЕРУСАЛИМСКИЙ КРЕСТ
262A ; Расширенный фотограф# E0.7 [1] (☪️) звезда и полумесяц
262B..262D ; Расширенный графический# E0.0 [3] (☫..☭) СИМВОЛ ФАРСИ ..СЕРП И МОЛОТ
262E ; Расширенный графический# E1.0 [1] (☮️) символ мира
262F ; Расширенный графический номер E0.7 [1] (☯️) инь-ян
2630 ..2637 ; Расширенный графический # E0.0 [8] (☰..☷) ТРИГРАММА ДЛЯ НЕБЕС .. ТРИГРАММА ДЛЯ ЗЕМЛИ
2638..2639 ; Расширенный фотограф # E0.7 [2] (☸️..☹️) колесо дхармы .. хмурое лицо
263A ; Расширенный фотограф # E0.6 [1] (☺️) улыбающееся лицо
263B..263F ; Расширенный фотограф # E0.0 [5] (☻..☿) ЧЕРНОЕ УЛЫБАЮЩЕЕСЯ ЛИЦО ..МЕРКУРИЙ
2640 ; Расширенный графический номер E4.0 [1] (♀️) женский знак
2641 ; Расширенный графический номер E0.0 [1] (♁) ЗЕМЛЯ
2642 ; Расширенный графический номер E4.0 [1] (♂️) мужской знак
2643..2647 ; Расширенный фотограф # E0.0 [5] (♃..♇) ЮПИТЕР ..ПЛУТОН
2648..2653 ; Расширенный графический # E0.6 [12] (♈..♓) Овен..Рыбы
2654..265E ; Расширенный графический # E0.0 [11] (♔..♞) БЕЛЫЙ ШАХМАТНЫЙ КОРОЛЬ .. ЧЕРНЫЙ ШАХМАТНЫЙ КОНЬ
265F ; Расширенный графический # E11.0 [1] (♟️) шахматная пешка
2660 ; Расширенный фотограф# E0.6 [1] (♠️) пиковая масть
2661..2662 ; Расширенный фотограф# E0.0 [2] (♡..♢) МАСТЬ БЕЛОГО СЕРДЦА .. МАСТЬ БЕЛОГО БРИЛЛИАНТА
2663 ; Расширенный фотограф# E0.6 [1] (♣️) клубный костюм
2664 ; Расширенный фотограф# E0.0 [1] (♤) БЕЛАЯ ПИКОВАЯ МАСТЬ
2665..2666 ; Расширенный фотограф# E0.6 [2] (♥️..♦️) масть сердца..ромбовидная масть
2667 ; Расширенный фотограф # E0.0 [1] (♧) БЕЛЫЙ КЛУБНЫЙ КОСТЮМ
2668 ; Расширенный фотограф# E0.6 [1] (♨️) горячие источники
2669 ..267A ; Расширенный графический номер # E0.0 [18] (♩..♺) ЧЕТВЕРТУШКА .. СИМВОЛ УТИЛИЗАЦИИ ДЛЯ ОБЫЧНЫХ МАТЕРИАЛОВ
267B ; Расширенный графический# E0.6 [1] (♻️) символ утилизации
267C ..267D ; Расширенный графический # E0.0 [2] (♼..♽) СИМВОЛ ИЗ ПЕРЕРАБОТАННОЙ БУМАГИ .. СИМВОЛ Из ЧАСТИЧНО ПЕРЕРАБОТАННОЙ БУМАГИ
267E ; Extended_Pictographic# E11.0 [1] (♾️) бесконечность
267F ; Расширенный графический# E0.6 [1] (♿) символ инвалидной коляски
2680..2685 ; Расширенный графический # E0.0 [6] (⚀..⚅) ГРАНЬ ШТАМПА-1..ГРАНЬ ШТАМПА-6
2690..2691 ; Расширенный графический # E0.0 [2] (⚐..⚑) БЕЛЫЙ ФЛАГ .. ЧЕРНЫЙ ФЛАГ
2692 ; Расширенный графический номер E1.0 [1] (⚒️) молоток и кирка
2693 ; Расширенный графический номер E0.6 [1] (⚓) якорь
2694 ; Расширенный фотограф# E1.0 [1] (⚔️) скрещенные мечи
2695 ; Расширенный графический номер E4.0 [1] (⚕️) медицинский символ
2696..2697 ; Расширенный фотограф# E1.0 [2] (⚖️..⚗️) весы ..перегонный куб
2698 ; Расширенный фотограф # E0.0 [1] (⚘) ЦВЕТОК
2699 ; Расширенный фотограф# E1.0 [1] (⚙️) шестерня
269A ; Расширенный фотограф# E0.0 [1] (⚚) ПОСОХ ГЕРМЕСА
269B..269C ; Расширенный графический# E1.0 [2] (⚛️..⚜️) символ атома..лилия
269D ..269F ; Extended_Pictographic # E0.0 [3] (⚝..⚟) ОЧЕРЧЕННАЯ БЕЛАЯ ЗВЕЗДА .. ТРИ ЛИНИИ, СХОДЯЩИЕСЯ ВЛЕВО
26A0..26A1 ; Расширенный графический # E0.6 [2] (⚠️..⚡) предупреждение .. высокое напряжение
26A2..26A6 ; Расширенный графический # E0.0 [5] (⚢..⚦) УДВОЕННЫЙ ЖЕНСКИЙ ЗНАК .. МУЖСКОЙ СО ЗНАКОМ ШТРИХА
26A7 ; Расширенный графический# E13.0 [1] (⚧️) символ трансгендера
26A8 ..26A9 ; Extended_Pictographic# E0.0 [2] (⚨..⚩) ВЕРТИКАЛЬНЫЙ ОТВЕТВИТЕЛЬ СО ЗНАКОМ ОБВОДКИ .. ГОРИЗОНТАЛЬНЫЙ ОТВЕТВИТЕЛЬ СО ЗНАКОМ ОБВОДКИ
26AA..26AB ; Расширенный графический # E0.6 [2] (⚪..⚫) белый круг .. черный круг
26AC ..26AF ; Расширенный графический # E0.0 [4] (⚬..⚯) СРЕДНИЙ МАЛЕНЬКИЙ БЕЛЫЙ КРУГ .. СИМВОЛ ПАРТНЕРСТВА БЕЗ БРАКА
26B0..26B1 ; Расширенный фотограф # E1.0 [2] (⚰️..⚱️) гроб ..погребальная урна
26B2..26BC ; Расширенный графический # E0.0 [11] (⚲..⚼) СРЕДНИЙ...ПОЛУТОРАКВАДРАТНЫЙ
26BD..26BE ; Расширенный графический # E0.6 [2] (⚽..⚾) футбольный мяч .. бейсбол
26BF..26C3 ; Расширенный графический # E0.0 [5] (⚿..⛃) КВАДРАТНАЯ КЛАВИША.. КОРОЛЬ ЧЕРНЫХ ШАШЕК
26C4 ..26C5 ; Расширенный фотограф # E0.6 [2] (⛄..⛅) снеговик без снега .. солнце за облаками
26C6..26C7 ; Расширенный фотограф# E0.0 [2] (⛆..⛇) ДОЖДЬ .. ЧЕРНЫЙ СНЕГОВИК
26C8 ; Расширенный фотограф # E0.7 [1] (⛈️) облако с молнией и дождем
26C9 ..26CD ; Расширенный графический # E0.0 [5] (⛉..⛍) ПОБЕЛЕВШИЙ ФРАГМЕНТ СЕГИ .. АВТОМОБИЛЬ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ
26CE ; Расширенный фотограф# E0.6 [1] (⛎) Змееносец
26CF ; Расширенный графический# E0.7 [1] (⛏️) выбор
26D0 ; Расширенный графический# E0.0 [1] (⛐) СКОЛЬЖЕНИЕ АВТОМОБИЛЯ
26D1 ; Расширенный фотограф # E0.7 [1] (⛑️) шлем спасателя
26D2 ; Расширенный графический номер E0.0 [1] (⛒) ПОЛОСЫ ДВИЖЕНИЯ, ОБВЕДЕННЫЕ КРУЖКОМ
26D3 ; Расширенные графические цепочки# E0.7 [1] (⛓️)
26D4 ; Extended_Pictographic# E0.6 [1] (⛔) записи нет
